year,full_population,bottom_0.90,top_0.10,top_0.05,top_0.01,top_0.005,top_0.001,top_0.0001
1913,"70,190",,,,"3,089,861","5,504,105","15,815,054","61,858,846"
1914,"70,676",,,,"3,114,119","5,556,658","15,681,482","64,825,108"
1915,"75,215",,,,"3,292,592","5,902,050","17,535,417","83,743,084"
1916,"76,842",,,,"3,279,924","5,701,187","19,030,309","87,648,825"
1917,"69,274","15,770","550,816","932,570","2,845,905","4,826,626","15,241,503","65,342,086"
1918,"60,617","14,976","471,385","784,210","2,266,453","3,658,809","10,690,475","42,644,449"
1919,"59,791","13,708","474,539","803,919","2,390,050","3,870,981","11,050,286","41,502,767"
1920,"52,373","13,233","404,633","657,222","1,864,459","2,962,169","7,832,231","26,518,281"
1921,"57,094","14,330","441,961","719,195","2,052,451","3,268,635","8,609,432","28,004,262"
1922,"63,434","15,078","498,642","827,133","2,479,892","4,001,543","10,892,871","38,228,038"
1923,"63,364","14,607","502,179","804,031","2,201,636","3,537,084","9,448,237","32,737,195"
1924,"64,472","13,837","520,187","841,047","2,372,097","3,830,717","10,321,318","35,949,128"
1925,"67,406","13,258","554,746","954,274","2,902,170","4,668,014","12,565,069","45,272,336"
1926,"69,163","13,047","574,212","1,002,008","3,121,043","5,043,657","14,019,361","51,954,524"
1927,"73,236","13,106","614,397","1,074,088","3,622,289","5,896,719","16,581,402","62,506,985"
1928,"82,465","14,259","696,319","1,222,175","4,239,529","6,978,208","20,300,789","80,499,964"
1929,"85,466","14,949","720,117","1,265,902","4,320,581","7,129,670","21,187,012","87,122,922"
1930,"79,406","14,453","663,982","1,186,222","3,887,022","6,350,595","18,241,295","71,139,213"
1931,"69,836","12,748","583,621","1,032,821","3,349,719","5,413,322","15,098,589","57,137,947"
1932,"63,544","11,307","533,678","943,957","2,988,786","4,961,205","14,244,773","47,742,863"
1933,"66,827","11,773","562,313","1,000,194","3,145,920","5,161,496","14,827,493","51,893,168"
1934,"68,107","13,219","562,100","1,000,500","3,215,644","5,348,899","14,833,217","50,417,469"
1935,"71,160","14,895","577,548","1,022,301","3,221,752","5,361,008","14,777,264","50,046,751"
1936,"80,842","16,556","659,415","1,162,573","3,653,504","6,024,716","16,142,765","52,951,239"
1937,"77,596","17,334","619,959","1,059,245","3,516,300","5,678,024","15,315,676","51,532,866"
1938,"74,584","16,825","594,411","987,211","3,033,033","4,787,306","12,523,804","43,501,185"
1939,"76,640","16,976","613,617","1,028,732","3,214,765","5,091,671","13,360,246","44,701,874"
1940,"76,569","19,079","593,976","978,023","2,904,208","4,552,950","11,742,179","39,647,744"
1941,"73,396","19,428","559,101","911,014","2,571,458","3,945,518","9,829,668","32,503,462"
1942,"71,364","20,080","532,924","862,619","2,469,401","3,789,753","9,267,336","29,158,911"
1943,"77,077","21,254","579,479","948,933","2,701,767","4,088,468","9,763,997","28,287,762"
1944,"87,432","24,421","654,534","1,077,304","3,013,186","4,516,565","10,643,095","33,276,596"
1945,"99,488","27,381","748,460","1,241,068","3,422,185","5,082,410","11,808,764","34,946,471"
1946,"97,054","27,401","723,933","1,181,894","3,089,338","4,554,560","10,590,449","33,405,068"
1947,"94,816","28,447","692,140","1,118,886","2,866,400","4,236,794","9,933,983","31,725,344"
1948,"95,596","29,884","687,005","1,102,177","2,860,336","4,253,772","9,867,729","30,386,935"
1949,"98,337","31,554","699,391","1,105,970","2,857,265","4,243,026","9,828,983","30,533,201"
1950,"101,513","32,072","726,484","1,163,284","3,099,228","4,602,382","10,747,060","28,459,454"
1951,"102,355","32,485","731,192","1,171,170","3,071,623","4,532,704","10,369,344","31,774,097"
1952,"105,790","33,934","752,490","1,197,248","3,141,973","4,607,442","10,521,353","32,295,198"
1953,"106,923","35,265","751,841","1,185,024","3,029,143","4,431,830","10,097,681","31,516,399"
1954,"110,392","36,118","778,849","1,216,631","3,181,293","4,638,439","10,493,473","32,183,885"
1955,"116,611","37,617","827,556","1,283,046","3,389,182","4,899,747","11,362,032","35,874,630"
