State,Dataset,Jan-95,Feb-95,Mar-95,Apr-95,May-95,Jun-95,Jul-95,Aug-95,Sep-95,Oct-95,Nov-95,Dec-95,Jan-96,Feb-96,Mar-96,Apr-96,May-96,Jun-96,Jul-96,Aug-96,Sep-96,Oct-96,Nov-96,Dec-96,Jan-97,Feb-97,Mar-97,Apr-97,May-97,Jun-97,Jul-97,Aug-97,Sep-97,Oct-97,Nov-97,Dec-97,Jan-98,Feb-98,Mar-98,Apr-98,May-98,Jun-98,Jul-98,Aug-98,Sep-98,Oct-98,Nov-98,Dec-98,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15
Alabama,Unemployment,122321,123071,124194,125498,126726,127321,127039,125672,123173,120021,116778,114133,112567,112121,112072,111463,109854,107691,105756,104812,105385,107197,109387,110867,111099,110288,109029,108227,108175,108495,108545,107759,105509,101992,97856,93932,91071,89713,89808,90816,92252,93800,95195,96087,96480,96356,96018,96079,96672,97783,99295,101003,102483,103334,103510,103184,102750,102397,101981,101309,100405,99265,98042,96890,96063,95805,95872,96058,96264,96580,97352,98500,99671,100535,100935,101066,101449,102686,105368,109514,114413,119334,123460,126272,127586,127595,126801,125752,124808,123969,123298,122878,122759,122674,122471,122298,122618,123655,125318,127288,129055,130350,130814,130507,129726,128924,128358,128032,127751,127285,126671,125836,124886,123811,122596,121192,119515,117458,114768,111493,107910,104426,101135,98131,95664,93965,93139,92832,92559,91861,90828,89610,88371,87445,87164,87497,87977,88223,88218,88029,87649,87011,86214,85353,84526,83760,83117,83022,83677,85006,86918,89206,91577,93786,95445,96757,98274,100519,103841,108236,113343,118828,124277,130180,137975,148909,163220,179877,197025,212851,225953,235728,242755,247805,251532,254167,255443,255347,254444,253068,250990,247696,242952,236906,230244,224351,220608,219749,221466,224285,226483,226991,225689,223533,221107,219073,217622,216189,213972,210147,204177,196644,188499,180917,175215,172376,172560,174658,177042,178270,177492,174935,171707,168585,166028,163992,161959,159359,156084,152899,150648,149773,150198,151177,152140,153128,154228,155227,155737,155531,154460,152362,149345,146001,142922,140437,138174,135619,132840,130576,129336,129097,129537,130252,130722,130604,130098,129780,130259,131421,132779,134403
Alabama,Employment,1937797,1939432,1940446,1941210,1942127,1943427,1945074,1946973,1948913,1950724,1952338,1953838,1955371,1957112,1959507,1962940,1967598,1973411,1979972,1986643,1992673,1997675,2001756,2005398,2008913,2012505,2016231,2020012,2023632,2026990,2030236,2033399,2036374,2038888,2040728,2042110,2043412,2044823,2046037,2046805,2046887,2046062,2044411,2042531,2041098,2040532,2040659,2040845,2040611,2039983,2039354,2038915,2038703,2038737,2038879,2039044,2039273,2039698,2040475,2041468,2042349,2042652,2042117,2040883,2039207,2037259,2035314,2033616,2032207,2031107,2030160,2029069,2027474,2025102,2021890,2017968,2013675,2009271,2004957,2000536,1995918,1991135,1986341,1982070,1978768,1976574,1975402,1975302,1976286,1978346,1981080,1984055,1986941,1989277,1990971,1992099,1992852,1993340,1993391,1992718,1991405,1990091,1989437,1989888,1991506,1994021,1996978,1999922,2002635,2005343,2008423,2011792,2014998,2017550,2019242,2020206,2020768,2021358,2022483,2024522,2027495,2031134,2035190,2039572,2044094,2048258,2051708,2054392,2056506,2058436,2060405,2062383,2064552,2066971,2069546,2072202,2074891,2077457,2079826,2081970,2084015,2086297,2088746,2090854,2092009,2091785,2090126,2087466,2084606,2082476,2081663,2082144,2083328,2084280,2084331,2083274,2080880,2077246,2072717,2067625,2062269,2056640,2050362,2042834,2033383,2021511,2007253,1991327,1974999,1959656,1946300,1935101,1925467,1916852,1908949,1901907,1896331,1892657,1891078,1891416,1893260,1895993,1899008,1963104,1983553,1990012,1991428,1990769,1989258,1987822,1986972,1986690,1990432,1989970,1989009,1987766,1986699,1986165,1986367,1987169,1988196,1989052,1989552,1989779,1989998,1990309,1990551,1990643,1990841,1991541,1992973,1994999,1997251,1999267,2000741,2001656,2002159,2002536,2003042,2003596,2003706,2003004,2001570,1999871,1998443,1997601,1997467,1997918,1998680,1999380,1999711,1999678,1999682,2000174,2001130,2002463,2004117,2005939,2007624,2008994,2009965,2010636,2011193,2011612,2011771,2011654,2011438,2011271,2011146,2011158,2011267,2011475
Alabama,Labor Force,2060118,2062503,2064640,2066708,2068853,2070748,2072113,2072645,2072086,2070745,2069116,2067971,2067938,2069233,2071579,2074403,2077452,2081102,2085728,2091455,2098058,2104872,2111143,2116265,2120012,2122793,2125260,2128239,2131807,2135485,2138781,2141158,2141883,2140880,2138584,2136042,2134483,2134536,2135845,2137621,2139139,2139862,2139606,2138618,2137578,2136888,2136677,2136924,2137283,2137766,2138649,2139918,2141186,2142071,2142389,2142228,2142023,2142095,2142456,2142777,2142754,2141917,2140159,2137773,2135270,2133064,2131186,2129674,2128471,2127687,2127512,2127569,2127145,2125637,2122825,2119034,2115124,2111957,2110325,2110050,2110331,2110469,2109801,2108342,2106354,2104169,2102203,2101054,2101094,2102315,2104378,2106933,2109700,2111951,2113442,2114397,2115470,2116995,2118709,2120006,2120460,2120441,2120251,2120395,2121232,2122945,2125336,2127954,2130386,2132628,2135094,2137628,2139884,2141361,2141838,2141398,2140283,2138816,2137251,2136015,2135405,2135560,2136325,2137703,2139758,2142223,2144847,2147224,2149065,2150297,2151233,2151993,2152923,2154416,2156710,2159699,2162868,2165680,2168044,2169999,2171664,2173308,2174960,2176207,2176535,2175545,2173243,2170488,2168283,2167482,2168581,2171350,2174905,2178066,2179776,2180031,2179154,2177765,2176558,2175861,2175612,2175468,2174639,2173014,2171358,2170420,2170473,2171204,2172024,2172507,2172253,2170829,2168222,2164657,2160481,2156074,2151774,2148004,2145522,2144484,2144250,2143689,2141960,2200010,2213797,2214363,2212036,2210518,2210724,2212107,2213455,2213681,2216121,2213503,2210116,2206839,2204321,2202354,2200339,2197316,2192373,2185696,2178051,2170696,2165213,2162685,2163111,2165301,2167883,2169811,2170465,2169934,2168958,2167852,2166769,2165648,2164118,2161895,2159126,2156495,2154354,2152777,2151768,2151048,2150583,2150729,2151695,2153145,2154417,2154911,2154171,2152040,2149027,2146175,2144052,2142900,2142291,2141558,2140464,2139570,2139301,2139733,2140730,2141864,2142493,2142258,2141536,2141051,2141405,2142579,2144046,2145878
Alaska,Unemployment,22053,21882,21707,21594,21597,21728,21970,22291,22641,22975,23285,23551,23727,23788,23752,23653,23528,23419,23349,23325,23340,23379,23427,23469,23480,23418,23271,23062,22832,22604,22377,22137,21860,21527,21124,20672,20264,19968,19807,19772,19832,19937,20043,20100,20129,20184,20298,20489,20706,20892,21012,21026,20922,20736,20528,20355,20242,20172,20146,20149,20164,20183,20192,20206,20243,20305,20380,20470,20546,20576,20524,20400,20258,20164,20165,20257,20400,20552,20685,20797,20902,21051,21289,21621,22018,22453,22890,23305,23685,24005,24242,24406,24534,24664,24822,25035,25298,25572,25814,25985,26068,26086,26076,26060,26045,26031,26009,25945,25841,25696,25516,25328,25166,25044,24958,24888,24819,24734,24612,24441,24215,23952,23704,23500,23368,23332,23399,23551,23741,23907,24012,24042,23982,23839,23646,23447,23268,23113,22988,22897,22809,22697,22544,22352,22155,22007,21931,21946,22040,22167,22279,22347,22395,22451,22538,22682,22886,23130,23386,23621,23809,23948,24030,24069,24117,24237,24489,24895,25452,26110,26780,27371,27846,28216,28496,28687,28792,28846,28888,28930,28956,28941,28870,28735,28537,28307,28121,28047,28080,28172,28262,28306,28290,28174,27994,27799,27626,27497,27434,27429,27446,27437,27370,27237,27048,26831,26615,26424,26261,26095,25898,25693,25533,25426,25343,25265,25194,25137,25100,25083,25095,25148,25219,25266,25288,25311,25351,25394,25424,25446,25475,25527,25576,25573,25480,25264,24910,24464,24012,23643,23417,23328,23331,23368,23410,23465,23539,23641,23758,23870,23967,24045
Alaska,Employment,281005,280915,280902,280990,281190,281501,281875,282252,282576,282833,283062,283328,283676,284130,284693,285316,285932,286475,286905,287225,287470,287667,287849,288063,288349,288733,289202,289714,290220,290681,291086,291463,291878,292408,293072,293823,294561,295177,295577,295748,295743,295662,295632,295743,295980,296267,296510,296639,296643,296556,296444,296404,296499,296755,297141,297594,298041,298417,298672,298802,298857,298919,299054,299234,299388,299446,299388,299246,299080,298963,298953,299072,299288,299563,299878,300237,300640,301037,301352,301509,301524,301459,301399,301401,301485,301608,301702,301750,301792,301912,302182,302619,303167,303734,304239,304642,304944,305153,305274,305318,305311,305308,305372,305564,305901,306353,306873,307397,307860,308285,308737,309270,309933,310736,311654,312644,313663,314676,315649,316588,317485,318313,319071,319771,320408,320979,321474,321870,322175,322438,322724,323077,323584,324279,325085,325902,326613,327122,327420,327553,327596,327624,327679,327769,327861,327909,327928,327931,327967,328090,328306,328609,328983,329395,329808,330226,330658,331113,331590,332049,332436,332700,332834,332858,332801,332701,332594,332490,332360,332209,332051,331902,331766,331649,331551,331481,331450,331444,331464,331507,331586,331719,331913,332189,332551,332967,333403,333854,334326,334839,335381,335905,336389,336732,337003,337269,337588,337982,338419,338817,339103,339265,339324,339331,339345,339378,339412,339389,339320,339283,339340,339491,339684,339841,339918,339908,339827,339718,339651,339684,339791,339910,340023,340133,340241,340328,340397,340485,340625,340810,340995,341100,341098,341006,340829,340629,340485,340454,340526,340644,340739,340783,340759,340674,340524,340291,340024,339766,339546,339396,339315,339295
Alaska,Labor Force,303058,302797,302609,302584,302787,303229,303845,304543,305217,305808,306347,306879,307403,307918,308445,308969,309460,309894,310254,310550,310810,311046,311276,311532,311829,312151,312473,312776,313052,313285,313463,313600,313738,313935,314196,314495,314825,315145,315384,315520,315575,315599,315675,315843,316109,316451,316808,317128,317349,317448,317456,317430,317421,317491,317669,317949,318283,318589,318818,318951,319021,319102,319246,319440,319631,319751,319768,319716,319626,319539,319477,319472,319546,319727,320043,320494,321040,321589,322037,322306,322426,322510,322688,323022,323503,324061,324592,325055,325477,325917,326424,327025,327701,328398,329061,329677,330242,330725,331088,331303,331379,331394,331448,331624,331946,332384,332882,333342,333701,333981,334253,334598,335099,335780,336612,337532,338482,339410,340261,341029,341700,342265,342775,343271,343776,344311,344873,345421,345916,346345,346736,347119,347566,348118,348731,349349,349881,350235,350408,350450,350405,350321,350223,350121,350016,349916,349859,349877,350007,350257,350585,350956,351378,351846,352346,352908,353544,354243,354976,355670,356245,356648,356864,356927,356918,356938,357083,357385,357812,358319,358831,359273,359612,359865,360047,360168,360242,360290,360352,360437,360542,360660,360783,360924,361088,361274,361524,361901,362406,363011,363643,364211,364679,364906,364997,365068,365214,365479,365853,366246,366549,366702,366694,366568,366393,366209,366027,365813,365581,365378,365238,365184,365217,365267,365261,365173,365021,364855,364751,364767,364886,365058,365242,365399,365529,365639,365748,365879,366049,366256,366470,366627,366674,366579,366309,365893,365395,364918,364538,364287,364156,364111,364090,364042,363934,363756,363563,363407,363304,363266,363282,363340
Arizona,Unemployment,120858,119514,119160,119395,119757,119812,119423,118863,118481,118580,119100,120173,121704,123538,125423,127107,128413,129294,129787,129765,129184,128085,126288,123562,119987,115940,111722,107871,104717,102437,101014,100313,100063,100060,100216,100403,100504,100459,100339,100235,100310,100662,101272,102090,103164,104384,105791,107507,109303,110956,112178,112662,112290,111271,109981,108635,107319,106087,104825,103409,101976,100699,99814,99423,99342,99207,98735,98003,97258,96906,97391,98853,101117,103843,106731,109916,113734,118398,123941,130146,136634,142926,148571,153435,157505,160765,163323,165100,166134,166635,166809,166755,166504,166020,165185,163947,162632,161599,161066,161056,161337,161345,160530,158802,156353,153607,151162,149300,147981,147044,146278,145215,143620,141566,139278,136963,134932,133539,132889,132966,133513,134033,134068,133536,132560,131478,130690,130212,129870,129307,128368,127127,125837,124833,124266,124050,123868,123479,122716,121684,120483,119195,118054,117062,116132,115185,114104,112908,111832,111374,112199,114768,118892,124152,129767,135398,141193,147430,154689,163426,173493,184216,195070,205893,217062,228989,241876,255657,269606,282987,295056,305518,314820,323403,331201,337845,343019,346287,347534,346979,344755,340975,335915,330114,324020,318515,314144,310966,308527,306165,303470,299819,295102,292314,291052,291120,291905,292189,290758,287289,282102,276259,270827,266677,263790,261478,259694,258022,255873,252819,248996,244815,240895,237744,235638,234475,233878,233236,232027,230443,228893,227670,226899,226165,225171,223956,222333,220298,218052,215904,213894,211790,209516,207258,205363,204074,203345,202662,201778,200697,199188,197230,194986,192746,190712,189085,187924,187177,186668,186247,185859,185541
Arizona,Employment,2064029,2076441,2087911,2098237,2107563,2115941,2123155,2128761,2132602,2135110,2136833,2138162,2139635,2141580,2144255,2147893,2152404,2157481,2162903,2168162,2172193,2174306,2174902,2175190,2176066,2178107,2181655,2186593,2192294,2198262,2204340,2210525,2216888,2223322,2229546,2235665,2241894,2248395,2255128,2262408,2270458,2279105,2287939,2296941,2306101,2315151,2323421,2330452,2336332,2341582,2346791,2352058,2357216,2362252,2366917,2371201,2375479,2380254,2385900,2391844,2397203,2401143,2403288,2403912,2403975,2404380,2406188,2410161,2416235,2423976,2432555,2440928,2448109,2453581,2457294,2459511,2460984,2462449,2464578,2467253,2470439,2474088,2478010,2482404,2487440,2492983,2498775,2505062,2511585,2518038,2523875,2528685,2532273,2534548,2536339,2538697,2542567,2548242,2555101,2561947,2567936,2573212,2578264,2583746,2590187,2597675,2605577,2613009,2619377,2624842,2630281,2636338,2643269,2650908,2658790,2666431,2673361,2679387,2684931,2690866,2697907,2706364,2716254,2727228,2738539,2749029,2757870,2765181,2771934,2779503,2788752,2799677,2811803,2824140,2835727,2845984,2855316,2864328,2873938,2884223,2894355,2903392,2910232,2914202,2915541,2915467,2915162,2915685,2917411,2919994,2922687,2924858,2926474,2927523,2928220,2928758,2928893,2928376,2927088,2925075,2922541,2919923,2917283,2914211,2909682,2902710,2892818,2880282,2865994,2851481,2838466,2827549,2818023,2808974,2799542,2789580,2779948,2771627,2765695,2762531,2761732,2761973,2761901,2760878,2758802,2755563,2751386,2746891,2742430,2738668,2736042,2734697,2735824,2735797,2735232,2733731,2731821,2730607,2731115,2733546,2737485,2742112,2746440,2749961,2752786,2755395,2757987,2760740,2764044,2767822,2771864,2775736,2778912,2780772,2781196,2780783,2780411,2781137,2783632,2787877,2792771,2797445,2801585,2805389,2809632,2815167,2822454,2830927,2839705,2847997,2855271,2861548,2867592,2874354,2881925,2890372,2899435,2908607,2917211,2924901,2931290,2936102,2939688,2942543,2945247,2948406,2952757,2958348,2964605,2970904,2976666,2981717
Arizona,Labor Force,2184887,2195955,2207071,2217632,2227320,2235753,2242578,2247624,2251083,2253690,2255933,2258335,2261339,2265118,2269678,2275000,2280817,2286775,2292690,2297927,2301377,2302391,2301190,2298752,2296053,2294047,2293377,2294464,2297011,2300699,2305354,2310838,2316951,2323382,2329762,2336068,2342398,2348854,2355467,2362643,2370768,2379767,2389211,2399031,2409265,2419535,2429212,2437959,2445635,2452538,2458969,2464720,2469506,2473523,2476898,2479836,2482798,2486341,2490725,2495253,2499179,2501842,2503102,2503335,2503317,2503587,2504923,2508164,2513493,2520882,2529946,2539781,2549226,2557424,2564025,2569427,2574718,2580847,2588519,2597399,2607073,2617014,2626581,2635839,2644945,2653748,2662098,2670162,2677719,2684673,2690684,2695440,2698777,2700568,2701524,2702644,2705199,2709841,2716167,2723003,2729273,2734557,2738794,2742548,2746540,2751282,2756739,2762309,2767358,2771886,2776559,2781553,2786889,2792474,2798068,2803394,2808293,2812926,2817820,2823832,2831420,2840397,2850322,2860764,2871099,2880507,2888560,2895393,2901804,2908810,2917120,2926804,2937640,2948973,2959993,2970034,2979184,2987807,2996654,3005907,3014838,3022587,3028286,3031264,3031673,3030652,3029266,3028593,3029243,3031368,3034886,3039626,3045366,3051675,3057987,3064156,3070086,3075806,3081777,3088501,3096034,3104139,3112353,3120104,3126744,3131699,3134694,3135939,3135600,3134468,3133522,3133067,3132843,3132377,3130743,3127425,3122967,3117914,3113229,3109510,3106487,3102948,3097816,3090992,3082822,3074078,3065530,3057857,3050957,3044833,3039512,3034516,3030926,3028111,3026284,3024851,3023726,3022796,3021873,3020835,3019587,3018371,3017267,3016638,3016576,3016873,3017681,3018762,3019917,3020641,3020860,3020551,3019807,3018516,3016834,3015258,3014289,3014373,3015659,3018320,3021664,3025115,3028484,3031554,3034803,3039123,3044787,3051225,3057757,3063901,3069165,3073338,3077108,3081612,3087288,3094446,3102780,3111269,3118989,3125598,3130478,3133332,3134674,3135289,3135959,3137491,3140681,3145525,3151273,3157151,3162525,3167258
Arkansas,Unemployment,60107,59559,59089,58743,58597,58701,59053,59583,60199,60808,61451,62159,62944,63803,64625,65283,65711,65940,66049,66146,66213,66254,66239,66057,65686,65255,64907,64811,64943,65147,65239,65178,64975,64802,64767,64920,65160,65235,64991,64469,63906,63546,63503,63694,63900,63766,63041,61806,60327,59005,58137,57769,57784,57944,58055,57915,57503,56942,56347,55770,55236,54684,54115,53558,53027,52635,52457,52495,52802,53374,54231,55340,56611,57968,59268,60374,61256,61932,62517,63262,64258,65480,66899,68365,69650,70534,70901,70788,70310,69655,69042,68660,68636,69005,69667,70484,71430,72470,73548,74619,75638,76543,77179,77458,77355,77006,76551,76107,75771,75563,75450,75287,74959,74431,73812,73253,72857,72613,72385,72087,71608,70970,70355,69969,69926,70150,70501,70675,70476,69908,69213,68663,68462,68665,69172,69818,70384,70805,71063,71193,71311,71385,71401,71352,71285,71324,71537,71977,72646,73374,73963,74285,74109,73354,72104,70632,69309,68399,68100,68525,69614,71300,73478,76156,79450,83411,87916,92700,97412,101706,105199,107565,108857,109345,109428,109418,109529,109868,110367,110863,111124,111007,110615,110175,109826,109709,109882,110333,111043,111877,112734,113481,114574,114892,114890,114587,114086,113436,112669,111777,110638,109279,107766,106180,104628,103254,102213,101546,101208,101050,100846,100487,100002,99394,98732,98107,97608,97248,96975,96718,96397,95926,95278,94342,93089,91622,89980,88170,86223,84234,82374,80757,79394,78260,77317,76507,75750,74986,74303,73858,73658,73578,73371,72828,71863,70536,68990,67487,66202,65111,64178,63504
