State,Region,Division,Year,Median Household Income
United States,United States,United States,2014,53657
United States,United States,United States,2013,53585
United States,United States,United States,2012,51017
United States,United States,United States,2011,50054
United States,United States,United States,2010,49276
United States,United States,United States,2009,49777
United States,United States,United States,2008,50303
United States,United States,United States,2007,50233
United States,United States,United States,2006,48201
United States,United States,United States,2005,46326
United States,United States,United States,2004,44334
United States,United States,United States,2003,43318
United States,United States,United States,2002,42409
United States,United States,United States,2001,42228
United States,United States,United States,2000,41990
United States,United States,United States,1999,40696
United States,United States,United States,1998,38885
United States,United States,United States,1997,37005
United States,United States,United States,1996,35492
United States,United States,United States,1995,34076
United States,United States,United States,1994,32264
United States,United States,United States,1993,31241
United States,United States,United States,1992,30636
United States,United States,United States,1991,30126
United States,United States,United States,1990,29943
United States,United States,United States,1989,28906
United States,United States,United States,1988,27225
United States,United States,United States,1987,26061
United States,United States,United States,1986,24897
United States,United States,United States,1985,23618
United States,United States,United States,1984,22415
Alabama,South,East South Central,2014,42278
Alabama,South,East South Central,2013,47320
Alabama,South,East South Central,2012,43464
Alabama,South,East South Central,2011,42590
Alabama,South,East South Central,2010,40933
Alabama,South,East South Central,2009,39980
Alabama,South,East South Central,2008,44476
Alabama,South,East South Central,2007,42212
Alabama,South,East South Central,2006,37952
Alabama,South,East South Central,2005,37150
Alabama,South,East South Central,2004,36629
Alabama,South,East South Central,2003,37255
Alabama,South,East South Central,2002,37603
Alabama,South,East South Central,2001,35160
Alabama,South,East South Central,2000,35424
Alabama,South,East South Central,1999,36251
Alabama,South,East South Central,1998,36266
Alabama,South,East South Central,1997,31939
Alabama,South,East South Central,1996,30302
Alabama,South,East South Central,1995,25991
Alabama,South,East South Central,1994,27196
Alabama,South,East South Central,1993,25082
Alabama,South,East South Central,1992,25808
Alabama,South,East South Central,1991,24346
Alabama,South,East South Central,1990,23357
Alabama,South,East South Central,1989,21284
Alabama,South,East South Central,1988,19948
Alabama,South,East South Central,1987,19734
Alabama,South,East South Central,1986,19132
Alabama,South,East South Central,1985,18333
Alabama,South,East South Central,1984,17310
Alaska,West,Pacific,2014,67629
Alaska,West,Pacific,2013,72472
Alaska,West,Pacific,2012,63648
Alaska,West,Pacific,2011,57431
Alaska,West,Pacific,2010,57848
Alaska,West,Pacific,2009,61604
Alaska,West,Pacific,2008,63989
Alaska,West,Pacific,2007,62993
Alaska,West,Pacific,2006,56418
Alaska,West,Pacific,2005,55891
Alaska,West,Pacific,2004,55063
Alaska,West,Pacific,2003,51837
Alaska,West,Pacific,2002,52774
Alaska,West,Pacific,2001,57363
Alaska,West,Pacific,2000,52847
Alaska,West,Pacific,1999,51396
