state_name,year,no_high_school_diploma,high_school_or_equivalent,some_college_less_than_4_yr_degree,bachelors_degree_or_higher
ALABAMA,2003,381,570,448,414
ALASKA,2003,22,66,83,54
ARIZONA,2003,304,560,665,551
ARKANSAS,2003,220,398,312,180
CALIFORNIA,2003,2170,2683,3934,3878
COLORADO,2003,186,444,495,650
CONNECTICUT,2003,168,404,296,444
DELAWARE,2003,38,107,84,88
DISTRICT OF COLUMBIA,2003,38,56,54,136
FLORIDA,2003,999,2097,1925,1776
GEORGIA,2003,509,1095,803,891
HAWAII,2003,49,114,134,122
IDAHO,2003,59,150,162,118
ILLINOIS,2003,716,1530,1202,1421
INDIANA,2003,351,965,586,499
IOWA,2003,117,422,369,283
KANSAS,2003,133,300,314,316
KENTUCKY,2003,300,548,436,355
LOUISIANA,2003,354,612,386,366
MAINE,2003,80,205,132,127
MARYLAND,2003,249,575,444,817
MASSACHUSETTS,2003,365,750,562,951
MICHIGAN,2003,517,1332,1189,904
MINNESOTA,2003,177,549,618,657
MISSISSIPPI,2003,220,369,301,191
MISSOURI,2003,261,778,605,566
MONTANA,2003,41,127,122,96
NEBRASKA,2003,68,228,216,175
NEVADA,2003,105,282,243,169
NEW HAMPSHIRE,2003,41,145,136,179
NEW JERSEY,2003,449,1051,653,1076
NEW MEXICO,2003,127,200,215,164
NEW YORK,2003,1244,2406,1579,2224
NORTH CAROLINA,2003,654,1017,823,811
NORTH DAKOTA,2003,32,84,90,63
OHIO,2003,599,1658,1107,1123
OKLAHOMA,2003,206,463,418,327
OREGON,2003,195,366,480,376
PENNSYLVANIA,2003,743,1945,988,1190
RHODE ISLAND,2003,88,136,94,113
SOUTH CAROLINA,2003,304,493,412,350
SOUTH DAKOTA,2003,35,112,82,69
TENNESSEE,2003,466,754,561,534
TEXAS,2003,1696,2007,2215,1922
UTAH,2003,67,201,243,214
VERMONT,2003,31,86,62,84
VIRGINIA,2003,348,773,700,983
WASHINGTON,2003,281,660,813,673
WEST VIRGINIA,2003,168,294,154,112
WISCONSIN,2003,273,765,629,540
WYOMING,2003,19,74,69,41
ALABAMA,2004,350,593,440,414
ALASKA,2004,23,66,82,58
ARIZONA,2004,316,551,655,598
ARKANSAS,2004,219,414,280,205
CALIFORNIA,2004,2140,2495,3875,4183
COLORADO,2004,192,428,511,615
CONNECTICUT,2004,161,410,329,451
DELAWARE,2004,39,110,82,86
DISTRICT OF COLUMBIA,2004,37,57,50,126
FLORIDA,2004,913,2188,2073,1785
GEORGIA,2004,512,1034,831,929
HAWAII,2004,47,121,132,118
IDAHO,2004,62,158,163,130
ILLINOIS,2004,622,1546,1267,1362
INDIANA,2004,343,961,653,474
IOWA,2004,133,296,393,295
KANSAS,2004,117,303,356,293
KENTUCKY,2004,339,558,434,349
LOUISIANA,2004,377,607,368,366
MAINE,2004,77,194,140,127
MARYLAND,2004,264,591,477,781
MASSACHUSETTS,2004,366,698,545,919
MICHIGAN,2004,492,1266,1176,979
MINNESOTA,2004,169,541,674,634
MISSISSIPPI,2004,192,363,293,214
MISSOURI,2004,283,804,578,621
MONTANA,2004,40,129,126,100
NEBRASKA,2004,65,217,242,162
NEVADA,2004,112,293,252,216
NEW HAMPSHIRE,2004,48,146,134,168
NEW JERSEY,2004,431,1076,623,1079
NEW MEXICO,2004,119,199,230,177
NEW YORK,2004,1141,2323,1613,2287
NORTH CAROLINA,2004,672,958,909,760
NORTH DAKOTA,2004,33,81,85,64
OHIO,2004,560,1627,1171,1125
OKLAHOMA,2004,204,458,426,325
OREGON,2004,175,408,519,391
PENNSYLVANIA,2004,684,1994,937,1239
RHODE ISLAND,2004,81,133,96,110
SOUTH CAROLINA,2004,285,471,447,416
SOUTH DAKOTA,2004,39,93,93,73
TENNESSEE,2004,445,838,603,538
TEXAS,2004,1671,2147,2216,2009
UTAH,2004,61,205,236,228
VERMONT,2004,26,81,63,87
VIRGINIA,2004,364,824,728,967
WASHINGTON,2004,284,624,844,721
WEST VIRGINIA,2004,148,300,162,111
WISCONSIN,2004,258,755,618,550
WYOMING,2004,17,68,72,42
ALABAMA,2005,395,609,478,369
ALASKA,2005,20,72,83,66
ARIZONA,2005,316,575,686,614
ARKANSAS,2005,242,410,268,194
CALIFORNIA,2005,2249,2636,3803,4166
COLORADO,2005,189,421,550,629
CONNECTICUT,2005,156,375,369,520
DELAWARE,2005,43,122,73,87
DISTRICT OF COLUMBIA,2005,38,52,41,123
FLORIDA,2005,916,2255,2085,1820
GEORGIA,2005,502,1110,957,887
HAWAII,2005,53,113,130,131
IDAHO,2005,56,150,178,133
ILLINOIS,2005,646,1425,1346,1438
INDIANA,2005,320,938,677,524
IOWA,2005,135,399,375,306
KANSAS,2005,91,340,352,318
KENTUCKY,2005,398,580,416,304
LOUISIANA,2005,334,669,355,340
