Country,Year,Top 10% average income,Top 5% average income,Top 1% average income,Top 0.5% average income,Top 0.1% average income,Top 0.01% average income,Bottom 90% average income,Top 10-5% average income,Top 5-1% average income,Top 1-0.5% average income,Top 0.5-0.1% average income,Top 0.1-0.01% average income,P90 income threshold,P95 income threshold,P99 income threshold,P99.5 income threshold,P99.9 income threshold,P99.99 income threshold
United States,1913,,,288355,472877.24,1383427.77,4423278.69,,,,103832.76,245239.61,1045666.56,,,82579.2,135422.75,428122.21,1800755.44
United States,1914,,,284822.33,473092.78,1349505.19,4280989.27,,,,96551.88,253989.67,1023784.74,,,76315.04,126760.06,410042.01,1789203.37
United States,1915,,,278385.37,461740.82,1460025.65,6905658.33,,,,95029.91,212169.62,854955.35,,,64333.08,122410.38,451132.8,2288985.76
United States,1916,,,320005.54,537687.48,1699958.54,7589502.12,,,,102323.59,247119.72,1045564.81,,,77198.15,137938.55,517712.85,2835378.41
United States,1917,70693.86,106459.36,308827.76,499550.19,1466602.74,5844681.5,11642.4,34928.36,55867.26,118105.34,257787.05,980149.55,27848.98,38568.29,95213.67,154354.55,535720.6,2443962.78
United States,1918,66272.03,97315.95,263788.2,411396.11,1119571.2,4065904.06,11089.75,35228.11,55697.88,116180.3,234352.33,792200.88,29473.21,39376.91,95089.79,147674.81,456503.15,1847279.69
United States,1919,64219.98,95343.13,258097.98,397993.21,1049798.54,3611368.57,10937.68,33096.82,54654.42,118202.75,235041.88,765179.65,27900.71,38535.59,96673.86,150354.99,479447.11,1706329.06
United States,1920,55267.69,79693.31,209740.07,317771.83,779169.69,2424846.67,9976.71,30842.06,47181.62,101708.31,202422.36,596316.69,28314.42,34297.48,82958.1,132491.54,379560.72,1231758.88
United States,1921,54851.36,77957.16,198020.69,296880.93,716958.32,2161831.08,8125.27,31745.56,47941.27,99160.45,191861.58,556416.9,27763.65,34632.24,81706.81,126074.7,354142.44,1132699.12
United States,1922,62061.03,89743.09,235425.43,357675.06,891357.66,2903485.31,9159.98,34378.98,53322.5,113175.79,224254.41,667787.92,29556.96,38403.63,91525.88,143327.05,412663.67,1311002.58
United States,1923,65241.04,93060.43,240955.8,364001.83,884656.01,2815405.23,10610.28,37421.65,56086.59,117909.77,233838.28,670128.32,31760.61,43228.55,94514.22,149803.54,422314.96,1289612.98
United States,1924,68706,98231.08,259107.54,394361.26,975093.57,3189971.81,10011.19,39180.91,58011.97,123853.82,249178.19,728995.98,33013.88,44202.17,99304.99,157341.83,446808,1472664.56
United States,1925,70831.97,104132.3,282302.82,430234.4,1082848.27,3760890.28,9949.09,37531.64,59589.67,134371.24,267080.93,785288.05,33833.84,44143.34,106591.75,167604.93,466497.29,1552184.47
United States,1926,71447.07,106199.84,292012.32,445771.54,1145931.32,4116008.5,10075.38,36694.3,59746.72,138253.11,270731.6,815922.74,32998.36,42846.15,110722.91,172436.4,480516.4,1653527.77
