state_name,year,no_of_sat_test_takers,critical_reading_mean,critical_reading_sd,mathematics_mean,mathematics_sd,writing_mean,writing_sd
ALABAMA,2005,3879,565,110,561,111,565,105
ALASKA,2005,3945,517,106,517,102,493,97
ARIZONA,2005,18615,521,100,528,100,507,97
ARKANSAS,2005,1489,574,104,568,103,567,102
CALIFORNIA,2005,191740,501,114,518,119,501,110
COLORADO,2005,11806,558,99,564,99,548,95
CONNECTICUT,2005,34522,512,112,516,118,511,111
DELAWARE,2005,6406,495,110,500,113,484,106
DISTRICT OF COLUMBIA,2005,3593,487,149,472,153,482,149
FLORIDA,2005,94601,496,105,497,107,480,101
GEORGIA,2005,58309,494,106,496,109,487,101
HAWAII,2005,7821,482,108,509,117,472,104
IDAHO,2005,3163,543,100,545,100,525,98
ILLINOIS,2005,12694,591,100,609,103,586,95
INDIANA,2005,41568,498,98,509,101,486,95
IOWA,2005,1477,602,105,613,101,591,96
KANSAS,2005,2545,582,109,590,102,566,105
KENTUCKY,2005,4417,562,105,562,106,555,104
LOUISIANA,2005,2622,570,108,571,108,571,103
MAINE,2005,10895,501,103,501,106,491,100
MARYLAND,2005,45231,503,119,509,125,499,117
MASSACHUSETTS,2005,59529,513,114,524,116,510,113
MICHIGAN,2005,10405,568,105,583,107,555,104
MINNESOTA,2005,6106,591,100,600,98,574,97
MISSISSIPPI,2005,1151,556,117,541,119,562,108
MISSOURI,2005,4266,587,107,591,109,582,104
MONTANA,2005,3024,538,98,545,96,524,95
NEBRASKA,2005,1498,576,104,583,106,566,101
NEVADA,2005,7120,498,99,508,102,481,98
NEW HAMPSHIRE,2005,12354,520,104,524,108,509,103
NEW JERSEY,2005,82990,496,114,515,119,496,113
NEW MEXICO,2005,2549,557,109,549,107,543,106
NEW YORK,2005,153518,493,112,510,117,483,112
NORTH CAROLINA,2005,52690,495,106,513,106,485,102
NORTH DAKOTA,2005,291,610,101,617,102,588,102
OHIO,2005,34970,535,103,544,106,521,102
OKLAHOMA,2005,2549,576,105,574,107,563,102
OREGON,2005,18357,523,104,529,101,503,100
PENNSYLVANIA,2005,103445,493,107,500,113,483,106
RHODE ISLAND,2005,8130,495,111,502,112,490,108
SOUTH CAROLINA,2005,23556,487,103,498,103,480,99
SOUTH DAKOTA,2005,335,590,101,604,96,578,98
TENNESSEE,2005,7091,573,103,569,102,572,100
TEXAS,2005,129784,491,110,506,111,487,103
UTAH,2005,2090,560,112,557,113,550,105
VERMONT,2005,5505,513,108,519,105,502,102
VIRGINIA,2005,56336,512,109,513,110,500,105
