State,Year,Top 10% (90th–100th percentiles),Top 5% (95th–100th percentiles),Top 1% (99th–100th percentiles),Top 0.5% (99.5th–   100th percentiles),Top 0.1% (99.9th–   100th percentiles),Top 0.01% (99.99th– 100th percentiles),0–90th percentiles,0–99th percentiles,90th–95th percentiles,95th–99th percentiles,99th–99.5th percentiles,99.5th–99.9th percentiles,99.9th–   99.99th percentiles,90th percentile,95th percentile,99th percentile,99.5th percentile,99.9th percentile,99.99th percentile,Number of tax units,Total income (1000s)
Alabama,1917,22855.69326,37076.49801,102479.6772,152651.8502,382232.5397,1296367.659,5408.989424,6190.770743,8634.888507,20725.7032,52307.50434,95256.67777,280661.9709,6892.253608,11218.54076,43984.34633,64839.86204,170959.9842,657959.0668,859968.2822,6151920.5
Alabama,1918,29051.58133,46888.60809,110097.4032,154492.9695,352714.49,962590.878,7382.652176,8533.910161,11214.55456,31086.40932,65701.8368,104937.5894,284950.4469,9024.47584,14603.71193,56668.39134,73813.10001,176796.9312,627558.1754,855007.9569,8164937
Alabama,1919,27038.71833,44125.16188,110555.1268,159792.0729,369492.3852,984413.5995,6296.989377,7339.001014,9952.274767,27517.67067,61318.18057,107366.9949,301167.8058,7966.23167,13034.26145,52040.68523,74227.13726,189554.7529,631213.2841,861283.2229,7209941.5
Alabama,1920,25369.7099,40252.35567,90298.96197,130189.5168,298511.2947,815351.8175,5456.337703,6610.793236,10487.06413,27740.7041,50408.40709,88109.0724,241084.5699,8307.049385,21089.78872,42787.85709,60426.30906,150606.2378,518487.143,872671.9958,6499377.5
Alabama,1921,22946.74601,36156.99177,81285.74945,114677.9539,263226.6692,821773.9211,4196.737653,5312.001004,9736.500239,24874.80236,47893.54503,77540.77503,201165.8634,7927.97725,12518.35695,43040.08212,55974.21489,128887.2774,429898.2475,887613.6776,5389358
Alabama,1922,25820.39611,41376.94289,98535.97194,139768.3932,322550.7488,864660.7792,4853.04863,6024.670362,10263.84932,27087.18563,57303.55064,94072.80434,262316.301,8289.237388,13313.87434,49177.04041,64841.21936,165069.6583,549487.5121,897777.5353,6239359.5
Alabama,1923,29485.28996,47905.30909,112446.605,164066.8518,394764.0374,1225822.96,6013.138631,7308.977489,11065.27082,31769.98513,60826.35809,106392.5554,302424.1571,8874.932519,14460.69693,51976.49801,70247.90429,186984.7406,627309.0519,910948.0163,7615847.5
Alabama,1924,29505.15751,48660.64363,119339.8812,173944.5875,414613.5449,1211148.926,5855.099887,7097.683675,10349.6714,30990.83424,64735.17484,113777.3481,326109.6136,8240.152109,13632.5709,57173.27213,74078.73968,203347.6519,704224.9813,926097.696,7612621
Alabama,1925,24721.89095,43364.07751,130571.1371,191101.2926,439838.2973,1179279.946,6425.895116,7019.98316,6079.704391,21562.31262,70040.98159,128917.0414,357678.1141,4694.568793,8271.810253,60300.9972,86246.71982,224222.8344,735746.1115,937489.5984,7739440.5
Alabama,1926,25254.31327,44144.28169,132605.9508,195012.0705,450094.9545,1282324.347,6903.86115,7487.724095,6364.344854,22028.86441,70199.8311,131241.3495,357625.022,4923.065785,8643.039817,60713.19456,86726.75224,227541.6787,745664.8757,947488.7499,8280015.5
Alabama,1927,25043.49535,43747.44714,133170.669,196664.6274,456699.1022,1309391.474,6723.970156,7297.187864,6339.543546,21391.64168,69676.71062,131656.0087,361955.5053,4905.67961,8606.049469,59498.90595,86993.5605,229687.7256,756833.1258,957887.4531,8195611
Alabama,1928,26493.59767,46925.33719,153032.4846,236695.3079,657851.4028,3199556.069,6743.416043,7260.716525,6061.858152,20398.55032,69369.66143,131406.2841,375439.7732,4658.530079,8288.724727,58301.78106,86561.58223,235140.1403,797636.6712,966798.6078,8428970
Alabama,1929,23447.71369,40994.79582,128494.8292,190563.6461,464348.076,1668871.057,7428.506003,7823.715637,5900.631567,19119.78749,66426.01225,122117.5386,330512.1892,4564.418754,8013.200635,55904.97707,82288.89132,212860.7519,766505.2447,973813.9045,8793955
Alabama,1930,19572.00557,33630.2487,104254.2728,149076.4732,353097.7571,1146078.315,5845.778435,6238.240828,5513.762441,15974.24267,59432.07245,98071.15221,264988.8063,4302.955405,7418.681546,48825.39807,68482.24134,163065.7484,594702.9949,981079.9371,7081828.5
Alabama,1931,17373.06652,29225.43786,90719.35534,126850.0994,281706.036,826712.9257,5003.419627,5387.061376,5520.695175,13851.95849,54588.61132,88136.1152,221149.715,4355.070397,7343.716405,45844.72754,64693.15284,143180.3479,450590.2631,992969.4131,6196511
Alabama,1932,16709.85375,26500.11279,73325.80765,98803.50451,210138.489,619564.4812,3635.857213,4252.52403,6919.594702,14793.68907,47848.11078,70969.75839,164646.7121,5620.443918,8920.425496,37811.94148,55937.18805,109047.4594,350331.5619,1003672.548,4961411
Alabama,1933,17294.05898,27627.61063,78528.7507,106974.6272,236209.5321,809782.1284,4091.526288,4673.224293,6960.507324,14902.32561,50082.87421,74665.90099,172479.2436,5633.703264,9007.615795,39696.45261,58176.04188,116684.8344,352845.0813,1013978.903,5487430.5
Alabama,1934,19785.81902,32285.59388,91300.38053,126403.2598,271334.9896,759431.2931,5150.943052,5759.017013,7286.044146,17531.89722,56197.50124,90170.32737,217102.067,5847.586365,9634.074983,48287.16092,66797.92844,146948.5985,453287.0853,1024851.477,6778809
Alabama,1935,21377.56755,35024.0737,96697.1342,135410.3471,296845.0263,799841.3646,5228.375526,5935.680188,7731.061396,19605.80858,57983.92129,95051.67732,240956.5443,6196.500829,10278.17252,50312.63502,70194.23282,158751.7344,479914.8077,1036500.33,7093077
Alabama,1936,25770.05224,42909.52612,121437.9206,177810.4875,414521.5059,1083690.07,5757.212742,6610.219683,8630.578372,23277.42749,65065.35368,118632.733,340169.4433,6863.964645,11582.63517,57701.18152,80017.11509,210423.032,716594.8728,1047669.204,8128338
Alabama,1937,28037.43123,46235.23612,123423.4983,179044.7133,415475.8312,1129947.296,5715.988818,6781.715229,9839.626347,26938.17058,67802.28326,119936.9338,336090.1129,7853.735424,13069.02405,59991.54994,81623.78059,212729.1852,695520.3531,1058699.86,8414687
Alabama,1938,26082.56143,42304.34771,108891.6882,153767.9789,341406.0142,951128.1165,5246.653477,6304.371101,9860.775146,25657.51258,64015.39753,106858.4701,273659.114,7941.622693,12987.58639,57617.67923,76843.88897,181492.9088,591180.2153,1071736.134,7856087.5
